mean_tmd_gap	tmd_negative_fraction_std	n_tmd	loc_er	has_WT_lost
365.0	0.0238095238095238	2	1	0
21.571428571428573	0.0336717514850736	8	1	0
0.0	0.0	1	0	1
16.5	0.0224478343233824	3	0	1
36.333333333333336	0.020619652471058	4	0	0
46.333333333333336	0.0	4	0	0
277.0	0.0	2	0	0
40.8	0.0277964064362356	6	0	0
0.0	0.0	1	1	0
11.0	0.0	2	1	0
2.0	0.0476190476190476	2	0	0
26.6	0.020704333124998	6	0	0
0.0	0.0	1	1	0
19.454545454545453	0.0	12	0	0
16.90909090909091	0.0296956935458249	12	0	0
17.0	0.0296956935458249	12	0	0
19.25	0.0233284737407921	5	0	0
41.57142857142857	0.0237565548366599	15	1	0
17.636363636363637	0.0169960115335055	12	0	0
12.545454545454543	0.0	12	0	0
11.454545454545457	0.0188266392127051	12	0	0
